agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,decision_horizon,decision_duration,settlement_duration,total_duration,settlement_complete,late_filled_qty,late_fees,settlement_pending_order_ids,cell,phase,episode_reward
all_wait,all_wait capacity control,44002,fixed_action_zero,0.0,2.991133330188743,0.0,30.0,0,99.98899647887325,99.98899647887325,0.0,0.0,0.0,0.0,1.9913324634350866,2.991133330188743,45.51685110663113,22.85293290995976,0.0,2.991133330188743,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.98899647887325, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 0.0, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228574.84595070424, 'total_pnl': 0.0}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-2.991133330188743
all_market,all_market capacity control,44002,fixed_action_four,3.4667058578721024,3.4667058578721024,1.0,10.5,21,99.96432966785842,99.98899647887325,56.38832997987953,79.24017574195197,22.851845762072443,0.9997533047446876,2.4669525531274146,3.4667058578721024,0.0,0.0,0.0,3.4667058578721024,0,0,0,VALID,[],"{'cash': 228495.60577496234, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -56.38832997987855, 'unrealized_pnl': 0.0, 'total_fees': 22.851845762072443, 'realized_pnl': -79.24017574195099, 'equity': 228495.60577496234, 'total_pnl': -79.24017574195099}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-3.4667058578720904
twap,TWAP,44003,twap,1.9171179168915073,1.9171179168915073,1.0,29.0,20,99.98611254139009,99.9952842052314,20.966423541238633,43.82324886820041,22.856825326961772,0.9999082790362144,0.9172096378552929,1.9171179168915073,0.0,0.0,0.0,1.9171179168915073,0,0,0,VALID,[],"{'cash': 228545.39644429082, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -20.966423541259417, 'unrealized_pnl': 0.0, 'total_fees': 22.856825326961772, 'realized_pnl': -43.823248868221185, 'equity': 228545.39644429082, 'total_pnl': -43.823248868221185}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44003,random,1.8067134106622453,1.8067134106622453,1.0,25.0,44,99.98404963904161,99.9952842052314,25.6822183098525,41.29952087524486,15.617302565392357,0.683203809276564,1.1235096013856813,1.8067134106622453,0.0,0.0,0.0,1.8067134106622453,0,0,0,VALID,[],"{'cash': 228547.92017228383, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -25.682218309868205, 'unrealized_pnl': 0.0, 'total_fees': 15.617302565392357, 'realized_pnl': -41.29952087526056, 'equity': 228547.92017228383, 'total_pnl': -41.29952087526056}",30.0,25.0,0.0,25.0,True,0,0.0,[],0,diagnostic,-1.8067134106625364
all_wait,all_wait capacity control,44003,fixed_action_zero,0.0,2.4131509542627096,0.0,30.0,0,99.9952842052314,99.9952842052314,0.0,0.0,0.0,0.0,1.4132922834910588,2.4131509542627096,32.3063380281584,22.855691335513082,0.0,2.4131509542627096,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.9952842052314, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -14.373742454736998, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228574.84595070424, 'total_pnl': -14.373742454736998}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-2.41315095426271
all_market,all_market capacity control,44003,fixed_action_four,1.7012122144600088,1.7012122144600088,1.0,10.5,21,99.98827171251482,99.9952842052314,16.030558350107583,38.88787726358844,22.85731891348086,0.9999298717657293,0.7012823426942792,1.7012122144600088,0.0,0.0,0.0,1.7012122144600088,0,0,0,VALID,[],"{'cash': 228550.33181589548, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -16.03055835010852, 'unrealized_pnl': 0.0, 'total_fees': 22.85731891348086, 'realized_pnl': -38.88787726358938, 'equity': 228550.33181589548, 'total_pnl': -38.88787726358938}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-1.7012122144597048
twap,TWAP,44004,twap,2.80719224709973,2.80719224709973,1.0,29.0,20,99.98978450757036,100.00785965794769,41.319793762566874,64.17745850099743,22.85766473843055,0.9998192627015586,1.8073729843981714,2.80719224709973,0.0,0.0,0.0,2.80719224709973,0,0,0,VALID,[],"{'cash': 228553.78971956755, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -41.319793762570484, 'unrealized_pnl': 0.0, 'total_fees': 22.85766473843055, 'realized_pnl': -64.17745850100104, 'equity': 228553.78971956755, 'total_pnl': -64.17745850100104}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44004,random,2.616558663651626,2.616558663651626,1.0,23.5,37,99.98890021009699,100.00785965794769,43.34129778672845,59.8192322686198,16.47793448189135,0.7207628816442426,1.8957957820073832,2.616558663651626,0.0,0.0,0.0,2.616558663651626,0,0,0,VALID,[],"{'cash': 228558.14794579992, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -43.341297786715344, 'unrealized_pnl': 0.0, 'total_fees': 16.47793448189135, 'realized_pnl': -59.8192322686067, 'equity': 228558.14794579992, 'total_pnl': -59.8192322686067}",30.0,23.5,0.0,23.5,True,0,0.0,[],0,diagnostic,-2.6165586636512708
all_wait,all_wait capacity control,44004,fixed_action_zero,0.0,3.77287064254867,0.0,30.0,0,100.00785965794769,100.00785965794769,0.0,0.0,0.0,0.0,2.7731479573444044,3.77287064254867,63.39914486920905,22.85545680331992,0.0,3.77287064254867,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.00785965794769, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -35.93435613681001, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228582.0328219316, 'total_pnl': -35.93435613681001}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-3.77287064254867
all_market,all_market capacity control,44004,fixed_action_four,3.0310459318201297,3.0310459318201297,1.0,10.5,21,99.98754557088816,100.00785965794769,46.43800301810218,69.29515593560721,22.857152917505033,0.9997968750943276,2.0312490567258017,3.0310459318201297,0.0,0.0,0.0,3.0310459318201297,0,0,0,VALID,[],"{'cash': 228548.672022133, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -46.43800301810701, 'unrealized_pnl': 0.0, 'total_fees': 22.857152917505033, 'realized_pnl': -69.29515593561204, 'equity': 228548.672022133, 'total_pnl': -69.29515593561204}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-3.031045931820412
twap,TWAP,44005,twap,2.284869274997922,2.284869274997922,1.0,29.0,20,99.9698609966888,99.9827087525151,29.36996981892151,52.223080042764565,22.85311022384305,0.999871500222522,1.2849977747753993,2.284869274997922,0.0,0.0,0.0,2.284869274997922,0,0,0,VALID,[],"{'cash': 228508.24912820678, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -29.369969818907563, 'unrealized_pnl': 0.0, 'total_fees': 22.85311022384305, 'realized_pnl': -52.22308004275061, 'equity': 228508.24912820678, 'total_pnl': -52.22308004275061}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44005,random,1.8999113692656333,1.8999113692656333,1.0,25.0,41,99.97041247924996,99.9827087525151,28.109280684094152,43.4244639713175,15.315183287223347,0.6700713880775125,1.2298399811881207,1.8999113692656333,0.0,0.0,0.0,1.8999113692656333,0,0,0,VALID,[],"{'cash': 228517.04774427818, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -28.109280684097257, 'unrealized_pnl': 0.0, 'total_fees': 15.315183287223347, 'realized_pnl': -43.424463971320606, 'equity': 228517.04774427818, 'total_pnl': -43.424463971320606}",30.0,25.0,0.0,25.0,True,0,0.0,[],0,diagnostic,-1.899911369266091
all_wait,all_wait capacity control,44005,fixed_action_zero,0.0,1.746687571608496,0.0,30.0,0,99.9827087525151,99.9827087525151,0.0,0.0,0.0,0.0,0.7467622478332793,1.746687571608496,17.068033199206816,22.85434041750503,0.0,1.746687571608496,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.9827087525151, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 35.934356136842496, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228596.40656438636, 'total_pnl': 35.934356136842496}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-1.746687571608496
all_market,all_market capacity control,44005,fixed_action_four,2.6626830085042936,2.6626830085042936,1.0,10.5,21,99.96608313485463,99.9827087525151,38.0061619718346,60.85840857646238,22.852246604627783,0.9998337150706573,1.6628492934336365,2.6626830085042936,0.0,0.0,0.0,2.6626830085042936,0,0,0,VALID,[],"{'cash': 228499.61379967304, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -38.00616197182494, 'unrealized_pnl': 0.0, 'total_fees': 22.852246604627783, 'realized_pnl': -60.85840857645272, 'equity': 228499.61379967304, 'total_pnl': -60.85840857645272}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-2.6626830085041346
twap,TWAP,44006,twap,1.9579180421698903,1.9579180421698903,1.0,29.0,20,100.0045658905313,100.01414738430584,21.90329476860751,44.76433853118296,22.861043762575445,0.9999041986156442,0.9580138435542459,1.9579180421698903,0.0,0.0,0.0,1.9579180421698903,0,0,0,VALID,[],"{'cash': 228587.57658199212, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -21.90329476861818, 'unrealized_pnl': 0.0, 'total_fees': 22.861043762575445, 'realized_pnl': -44.76433853119363, 'equity': 228587.57658199212, 'total_pnl': -44.76433853119363}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44006,random,2.398790457675918,2.398790457675918,1.0,29.5,47,99.99710230983452,100.01414738430584,38.96504024144474,54.84410777162582,15.879067530181082,0.6945241196520373,1.7042663380238803,2.398790457675918,0.0,0.0,0.0,2.398790457675918,0,0,0,VALID,[],"{'cash': 228577.4968127516, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -38.965040241457956, 'unrealized_pnl': 0.0, 'total_fees': 15.879067530181082, 'realized_pnl': -54.84410777163904, 'equity': 228577.4968127516, 'total_pnl': -54.84410777163904}",30.0,29.5,0.0,29.5,True,0,0.0,[],0,diagnostic,-2.3987904576760912
all_wait,all_wait capacity control,44006,fixed_action_zero,0.0,3.0061693918912833,0.0,30.0,0,100.01414738430584,100.01414738430584,0.0,0.0,0.0,0.0,2.0063700288941733,3.0061693918912833,45.87210764588525,22.85864688128773,0.0,3.0061693918912833,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.01414738430584, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 0.0, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228632.34092052316, 'total_pnl': 0.0}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-3.0061693918912837
all_market,all_market capacity control,44006,fixed_action_four,2.189457296227163,2.189457296227163,1.0,10.5,21,100.00224993882807,100.01414738430584,27.197560362177477,50.05807469819355,22.860514336016077,0.9998810423746138,1.189576253852549,2.189457296227163,0.0,0.0,0.0,2.189457296227163,0,0,0,VALID,[],"{'cash': 228582.28284582507, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -27.197560362178237, 'unrealized_pnl': 0.0, 'total_fees': 22.860514336016077, 'realized_pnl': -50.05807469819432, 'equity': 228582.28284582507, 'total_pnl': -50.05807469819432}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-2.1894572962269696
twap,TWAP,44007,twap,0.9180512272027467,0.9180512272027467,1.0,29.0,20,100.01182318099323,100.01100352112677,-1.873742454737749,20.9889603244373,22.86270277917505,1.0000081956968492,-0.08195696849410261,0.9180512272027467,0.0,0.0,0.0,0.9180512272027467,0,0,0,VALID,[],"{'cash': 228604.16508897138, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 1.8737424547291965, 'unrealized_pnl': 0.0, 'total_fees': 22.86270277917505, 'realized_pnl': -20.988960324445852, 'equity': 228604.16508897138, 'total_pnl': -20.988960324445852}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44007,random,0.5017132512961685,0.5017132512961685,1.0,21.5,34,100.0132177029808,100.01100352112677,-5.061619718313611,11.470426936615958,16.53204665492957,0.7231070755829849,-0.22139382428681634,0.5017132512961685,0.0,0.0,0.0,0.5017132512961685,0,0,0,VALID,[],"{'cash': 228613.6836223592, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': 5.0616197183128975, 'unrealized_pnl': 0.0, 'total_fees': 16.53204665492957, 'realized_pnl': -11.470426936616672, 'equity': 228613.6836223592, 'total_pnl': -11.470426936616672}",30.0,21.5,0.0,21.5,True,0,0.0,[],0,diagnostic,-0.5017132512963332
all_wait,all_wait capacity control,44007,fixed_action_zero,0.0,0.9617755724204875,0.0,30.0,0,100.01100352112677,100.01100352112677,0.0,0.0,0.0,0.0,-0.03822825040455286,0.9617755724204875,-0.8739939637775952,22.862602804325956,0.0,0.9617755724204875,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.01100352112677, 'gross_realized_pnl': 0.0, 'unrealized_pnl': 25.154049295789747, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228650.30809859157, 'total_pnl': 25.154049295789747}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-0.9617755724204874
all_market,all_market capacity control,44007,fixed_action_four,1.8875492087307428,1.8875492087307428,1.0,10.5,21,100.00212616468717,100.01100352112677,20.29363682092176,43.154122862169245,22.860486041247484,0.999911236202747,0.8876379725279956,1.8875492087307428,0.0,0.0,0.0,1.8875492087307428,0,0,0,VALID,[],"{'cash': 228581.9999264336, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -20.29363682092591, 'unrealized_pnl': 0.0, 'total_fees': 22.860486041247484, 'realized_pnl': -43.154122862173395, 'equity': 228581.9999264336, 'total_pnl': -43.154122862173395}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-1.8875492087309087
twap,TWAP,44008,twap,2.870128437819163,2.870128437819163,1.0,29.0,20,99.97658193254013,99.9952842052314,42.75339537224411,65.60804200202278,22.85464662977867,0.9998129684530633,1.8703154693660995,2.870128437819163,0.0,0.0,0.0,2.870128437819163,0,0,0,VALID,[],"{'cash': 228523.61165115712, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -42.75339537224278, 'unrealized_pnl': 0.0, 'total_fees': 22.85464662977867, 'realized_pnl': -65.60804200202145, 'equity': 228523.61165115712, 'total_pnl': -65.60804200202145}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44008,random,2.140521095244337,2.486354790908947,0.8591426071741033,30.0,43,99.9803348476808,99.9952842052314,29.360538229378136,42.037851798291626,12.677313568913487,0.5545893015397034,1.7909587500610589,2.486354790908947,11.578848088531142,3.218690266599598,0.0,2.486354790908947,0,322,0,VALID,[],"{'cash': 196348.70032727614, 'inventory': 322, 'average_cost': 99.9952842052314, 'gross_realized_pnl': -29.360538229384986, 'unrealized_pnl': -10.123239436621219, 'total_fees': 12.677313568913487, 'realized_pnl': -42.037851798298476, 'equity': 228537.058601924, 'total_pnl': -52.161091234919695}",30.0,30.0,0.00999999999999801,30.009999999999998,True,0,0.0,[],0,diagnostic,-2.486354790908865
all_wait,all_wait capacity control,44008,fixed_action_zero,0.0,3.508081656661398,0.0,30.0,0,99.9952842052314,99.9952842052314,0.0,0.0,0.0,0.0,2.508332489910389,3.508081656661398,57.337776659961435,22.8531881916499,0.0,3.508081656661398,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 99.9952842052314, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -28.747484909473997, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228560.4722082495, 'total_pnl': -28.747484909473997}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-3.508081656661398
all_market,all_market capacity control,44008,fixed_action_four,2.686814870084699,2.686814870084699,1.0,10.5,21,99.9784151650938,99.9952842052314,38.5626257545233,61.41769146126377,22.85506570674047,0.9998313016431568,1.6869835684415424,2.686814870084699,0.0,0.0,0.0,2.686814870084699,0,0,0,VALID,[],"{'cash': 228527.80200169786, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -38.5626257545365, 'unrealized_pnl': 0.0, 'total_fees': 22.85506570674047, 'realized_pnl': -61.417691461276966, 'equity': 228527.80200169786, 'total_pnl': -61.417691461276966}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-2.6868148700848677
twap,TWAP,44009,twap,3.5028360541968415,3.5028360541968415,1.0,29.0,20,99.97654067449317,100.00157193158954,57.22145372233325,80.0760909205224,22.854637198189145,0.9997496913637172,2.503086362833124,3.5028360541968415,0.0,0.0,0.0,3.5028360541968415,0,0,0,VALID,[],"{'cash': 228523.51734469327, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -57.221453722322565, 'unrealized_pnl': 0.0, 'total_fees': 22.854637198189145, 'realized_pnl': -80.07609092051172, 'equity': 228523.51734469327, 'total_pnl': -80.07609092051172}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44009,random,3.283800003331306,3.283800003331306,1.0,28.0,44,99.97614184670579,100.00157193158954,58.133174044276075,75.06884808854167,16.935674044265596,0.7408314886806684,2.542968514650638,3.283800003331306,0.0,0.0,0.0,3.283800003331306,0,0,0,VALID,[],"{'cash': 228528.52458752526, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -58.133174044252016, 'unrealized_pnl': 0.0, 'total_fees': 16.935674044265596, 'realized_pnl': -75.06884808851761, 'equity': 228528.52458752526, 'total_pnl': -75.06884808851761}",30.0,28.0,0.0,28.0,True,0,0.0,[],0,diagnostic,-3.283800003330846
all_wait,all_wait capacity control,44009,fixed_action_zero,0.0,4.480263595168476,0.0,30.0,0,100.00157193158954,100.00157193158954,0.0,0.0,0.0,0.0,3.48061165633411,4.480263595168476,79.56803319918608,22.85240254024145,0.0,4.480263595168476,0,2286,0,VALID,[],"{'cash': 0.0, 'inventory': 2286, 'average_cost': 100.00157193158954, 'gross_realized_pnl': 0.0, 'unrealized_pnl': -35.93435613681001, 'total_fees': 0.0, 'realized_pnl': 0.0, 'equity': 228567.65907947687, 'total_pnl': -35.93435613681001}",30.0,30.0,0.0,30.0,True,0,0.0,[],0,diagnostic,-4.480263595168476
all_market,all_market capacity control,44009,fixed_action_four,3.2819935343877233,3.2819935343877233,1.0,10.5,21,99.97874935527426,100.00157193158954,52.172409456732666,75.02755155934838,22.855142102615712,0.9997717778243446,2.2822217565633784,3.2819935343877233,0.0,0.0,0.0,3.2819935343877233,0,0,0,VALID,[],"{'cash': 228528.5658840546, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -52.17240945672543, 'unrealized_pnl': 0.0, 'total_fees': 22.855142102615712, 'realized_pnl': -75.02755155934115, 'equity': 228528.5658840546, 'total_pnl': -75.02755155934115}",30.0,10.5,0.0,10.5,True,0,0.0,[],0,diagnostic,-3.2819935343880617
twap,TWAP,44010,twap,2.1021845860402313,2.1021845860402313,1.0,29.0,20,99.98740529352845,99.99842806841048,25.198063380283315,48.055184230383894,22.85712085010058,0.9998897705184465,1.1022948155217847,2.1021845860402313,0.0,0.0,0.0,2.1021845860402313,0,0,0,VALID,[],"{'cash': 228548.35138015603, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -25.198063380295423, 'unrealized_pnl': 0.0, 'total_fees': 22.85712085010058, 'realized_pnl': -48.055184230396, 'equity': 228548.35138015603, 'total_pnl': -48.055184230396}",30.0,29.0,0.0,29.0,True,0,0.0,[],0,diagnostic,
random,Random,44010,random,1.7334522821523173,1.7334522821523173,1.0,22.0,38,99.98704222271513,99.99842806841048,26.028043259552245,39.62609626508545,13.598053005533208,0.5948498145662314,1.138602467586086,1.7334522821523173,0.0,0.0,0.0,1.7334522821523173,0,0,0,VALID,[],"{'cash': 228556.7804681213, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -26.028043259574446, 'unrealized_pnl': 0.0, 'total_fees': 13.598053005533208, 'realized_pnl': -39.626096265107655, 'equity': 228556.7804681213, 'total_pnl': -39.626096265107655}",30.0,22.0,0.0,22.0,True,0,0.0,[],0,diagnostic,-1.7334522821525404
